ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
tro-26619706,P,Isoëtaceae,,Calamaria,,"adspersa",,"","(A. Braun) Kuntze",Accepted,,M,TRO,26619706,,"Revis. Gen. Pl.","2: 828","828","1891"
tro-26619694,P,Isoëtaceae,,Calamaria,,"aequinoctialis",,"","(A. Braun) Kuntze",Accepted,,M,TRO,26619694,,"Revis. Gen. Pl.","2: 828","828","1891"
tro-26602947,P,Isoëtaceae,,Calamaria,,"bolanderi",,"","Kuntze",Unresolved,,L,TRO,26602947,40638-2,"Revis. Gen. Pl.","2: 828","828","1891"
tro-26604197,P,Isoëtaceae,,Calamaria,,"butleri",,"","Kuntze",Unresolved,,L,TRO,26604197,40639-2,"Revis. Gen. Pl.","2: 828","828","1891"
tro-26619700,P,Isoëtaceae,,Calamaria,,"coromandelina",,"","(L. f.) Kuntze",Accepted,,M,TRO,26619700,,"Revis. Gen. Pl.","2: 828","828","1891"
tro-26602948,P,Isoëtaceae,,Calamaria,,"echinospora",,"","Kuntze",Unresolved,,L,TRO,26602948,,"Revis. Gen. Pl.","2: 828","828","1891"
tro-26604200,P,Isoëtaceae,,Calamaria,,"engelmani",,"","Kuntze",Unresolved,,L,TRO,26604200,,"Revis. Gen. Pl.","2: 828","828","1891"
tro-26604190,P,Isoëtaceae,,Calamaria,,"flaccida",,"","Kuntze",Unresolved,,L,TRO,26604190,40642-2,"Revis. Gen. Pl.","2: 828","828","1891"
tro-26604520,P,Isoëtaceae,,Calamaria,,"lacustris",,"","Kuntze",Unresolved,,L,TRO,26604520,40644-2,"Revis. Gen. Pl.","2: 828","828","1891"
tro-26619701,P,Isoëtaceae,,Calamaria,,"malinverniana",,"","(Ces. & De Not.) Kuntze",Accepted,,M,TRO,26619701,,"Revis. Gen. Pl.","2: 828","828","1891"
tro-26604195,P,Isoëtaceae,,Calamaria,,"melanospora",,"","(Engelm.) Kuntze",Accepted,,M,TRO,26604195,40648-2,"Revis. Gen. Pl.","2: 828","828","1891"
tro-26619705,P,Isoëtaceae,,Calamaria,,"nigritiana",,"","(A. Braun) Kuntze",Accepted,,M,TRO,26619705,,"Revis. Gen. Pl.","2: 828","828","1891"
tro-26604522,P,Isoëtaceae,,Calamaria,,"nuttallii",,"","Kuntze",Unresolved,,L,TRO,26604522,40649-2,"Revis. Gen. Pl.","2: 828","828","1891"
tro-26604524,P,Isoëtaceae,,Calamaria,,"setacea",,"","(Lam.) Kuntze",Accepted,,M,TRO,26604524,,"Revis. Gen. Pl.","2: 828","828","1891"
tro-26604523,P,Isoëtaceae,,Calamaria,,"suksdorfii",,"","Kuntze",Unresolved,,L,TRO,26604523,40654-2,"Revis. Gen. Pl.","2: 828","828","1891"
tro-100354148,P,Isoëtaceae,,Cephaloceraton,,"histrix",,"","(Bory & Durieu) Gennari",Accepted,,M,TRO,100354148,,"Comment. Soc. Crittog. Ital.","1: 111","111","1862"
tro-100354149,P,Isoëtaceae,,Isoetella,,"duriei",,"","(Bory) Gennari",Accepted,,M,TRO,100354149,,"Comment. Soc. Crittog. Ital.","1: 114","114","1862"
tro-26604513,P,Isoëtaceae,,Isoetes,,"acadiensis",,"","Kott",Accepted,,M,TRO,26604513,130479-2,"Canad. J. Bot.","59: 2592–2594","2592","1981"
tro-26604244,P,Isoëtaceae,,Isoetes,,"aequinoctialis",,"","A. Braun",Accepted,,M,TRO,26604244,,"Filic. Afr.","195","195","1868"
tro-26619686,P,Isoëtaceae,,Isoetes,,"alcalophila",,"","Halloy",Unresolved,,L,TRO,26619686,,"","","",""
tro-100376980,P,Isoëtaceae,,Isoetes,,"alpina",,"","Kirk",Unresolved,,L,TRO,100376980,60443142-2,"Trans. & Proc. New Zealand Inst.","7: 377, t. 25","377","1875"
tro-50257475,P,Isoëtaceae,,Isoetes,×,"altonharvillii",,"","Musselman & R.D. Bray",Unresolved,,L,TRO,50257475,17566300-1,"Castanea","60(3): 246–254, f. 2, 8–10","246","1995"
tro-50269775,P,Isoëtaceae,,Isoetes,,"altonharvillii",,"","Musselman & R.D. Bray",Unresolved,,L,TRO,50269775,,"","","",""
tro-50232700,P,Isoëtaceae,,Isoetes,,"amazonica",,"","A. Braun",Accepted,,M,TRO,50232700,1111351-2,"","","",""
tro-26608588,P,Isoëtaceae,,Isoetes,,"andicola",,"","(Amstutz) L.D. Gómez",Accepted,,M,TRO,26608588,130482-2,"Brenesia","18: 4","4","1980"
tro-26623010,P,Isoëtaceae,,Isoetes,,"andina",,"","Spruce ex Hook.",Accepted,,M,TRO,26623010,,"Brit. Ferns","ad t. 55","","1861"
tro-50141349,P,Isoëtaceae,,Isoetes,,"appalachiana",,"","D.F. Brunt. & D.M. Britton",Accepted,,M,TRO,50141349,,"","","",""
tro-26603617,P,Isoëtaceae,,Isoetes,,"asiatica",,"","Makino",Accepted,,M,TRO,26603617,,"Bot. Mag. (Tokyo)","28: 184","184","1914"
tro-50284313,P,Isoëtaceae,,Isoetes,,"australis",,"","R.O. Williams",Unresolved,,L,TRO,50284313,,"","","",""
tro-50156351,P,Isoëtaceae,,Isoetes,,"azorica",,"","Durieu ex Milde",Unresolved,,L,TRO,50156351,,"Fil. Eur.","278","278","1867"
tro-26609047,P,Isoëtaceae,,Isoetes,,"baculata",,"","Hickey & H.P. Fuchs",Accepted,,M,TRO,26609047,278935-2,"Syst. Bot.","11(2): 310, f. 1","310","1986"
